単元名,チェック項目,サブテーマ,リファレンス,チャート例題番号,難易度,応用的,チェック内容,問題文,チェック解答,学んでほしいこと,練習問題,練習問題の解答,AIによる修正後の問題文（数Ⅰ）,,,367,370
","**多項式の次数は、項の中で一番大きい次数の項で決まることを理解しよう。また、定数項は次数が0であることも覚えておこう。**
","練習問題：

1.  次の多項式の次数を答えなさい。
    (1) $4x^3 - 2x^2 + 5x - 1$
    (2) $-7x^5 + 3x^4 - x^2 + 9$
    (3) $10x - 6$
    (4) $12$
    (5) $x^2y + 3xy^2 - 2x^2 + 7y$（注：$x$と$y$は異なる文字）

2.  次の多項式を、次数が高い順に並べ替えなさい。
    (1) $6x^2 + 2x^4 - 3x + 1$
    (2) $5x^3 - 8 + x^5 + 2x$

3.  $x$ についての多項式 $ax^3 + bx^2 + cx + d$ が3次式となるための、$a, b, c, d$ の条件を答えなさい。

4.  $2x^3 + 5x^2 - 3x + 1$ と $4x^2 - 2x + 6$ のそれぞれの次数を答えなさい。また、2つの多項式の和と差を計算し、その次数を答えなさい。
    （注：多項式の和は足し算、差は引き算のこと）

5.  $x$についての多項式で、次数が2で、定数項が-5であるものを一つ例を挙げなさい。
","1.  次の多項式の次数を答えなさい。
    (1) $4x^3 - 2x^2 + 5x - 1$

    **解答：3**

    (2) $-7x^5 + 3x^4 - x^2 + 9$

    **解答：5**

    (3) $10x - 6$

    **解答：1**

    (4) $12$

    **解答：0**

    (5) $x^2y + 3xy^2 - 2x^2 + 7y$

    **解答：3**（$x^2y$ と $3xy^2$ の次数が 3 で最大）

2.  次の多項式を、次数が高い順に並べ替えなさい。
    (1) $6x^2 + 2x^4 - 3x + 1$

    **解答：$2x^4 + 6x^2 - 3x + 1$**

    (2) $5x^3 - 8 + x^5 + 2x$

    **解答：$x^5 + 5x^3 + 2x - 8$**

3.  $x$ についての多項式 $ax^3 + bx^2 + cx + d$ が3次式となるための、$a, b, c, d$ の条件を答えなさい。

    **解答：$a \neq 0$** ( $b, c, d$ はどんな数でも良い)
    (注：3次式になるには、$x^3$の項が必ず必要なので、$a$が0では困る)

4.  $2x^3 + 5x^2 - 3x + 1$ と $4x^2 - 2x + 6$ のそれぞれの次数を答えなさい。また、2つの多項式の和と差を計算し、その次数を答えなさい。

    **解答：**
    *   $2x^3 + 5x^2 - 3x + 1$ の次数：3
    *   $4x^2 - 2x + 6$ の次数：2
    *   和： $(2x^3 + 5x^2 - 3x + 1) + (4x^2 - 2x + 6) = 2x^3 + 9x^2 - 5x + 7$、次数：3
    *   差： $(2x^3 + 5x^2 - 3x + 1) - (4x^2 - 2x + 6) = 2x^3 + x^2 - x - 5$、次数：3

5.  $x$についての多項式で、次数が2で、定数項が-5であるものを一つ例を挙げなさい。

    **解答例：$x^2 - 5$, $2x^2+x-5$, $-3x^2 - 5$ など**
    （注：2次の項があればなんでも良い。1次の項はあっても無くても良い。）
",,,,,
数と式,多項式を降べきの順に整理するとは？,多項式の計算の基本,"教科書, p12",,1,,,,"多項式を降べきの順に整理するとは、多項式に含まれる各項を、ある文字に着目したときの次数の大きい順に並べて整理することです。例えば、多項式 \( 3x^2 + 2x^3 - 5x + 1 \) を \( x \) について降べきの順に整理すると、\( 2x^3 + 3x^2 - 5x + 1 \) となります。
","**多項式の整理は、計算や式の扱いをスムーズにするための基本操作であることを理解しよう。** 特に、**「着目する文字」** を意識して、**次数**の大きい順に並べることを確実にできるようにしよう。降べきの順に整理することで、多項式の構造が見やすくなり、後の計算ミスを防ぐことにも繋がる。
","高校数学分野：数学Ⅰ

単元名：数と式

サブテーマ：多項式の計算の基本

チェック項目：多項式を降べきの順に整理するとは？

チェック項目の解答： 多項式を降べきの順に整理するとは、多項式に含まれる各項を、ある文字に着目したときの次数の大きい順に並べて整理することです。例えば、多項式 \( 3x^2 + 2x^3 - 5x + 1 \) を \( x \) について降べきの順に整理すると、\( 2x^3 + 3x^2 - 5x + 1 \) となります。

学んでほしいこと：**多項式の整理は、計算や式の扱いをスムーズにするための基本操作であることを理解しよう。** 特に、**「着目する文字」** を意識して、**次数**の大きい順に並べることを確実にできるようにしよう。降べきの順に整理することで、多項式の構造が見やすくなり、後の計算ミスを防ぐことにも繋がる。

練習問題：

1.  次の多項式を、[ ] 内の文字について降べきの順に整理しなさい。
    (1) \( 4a^2b - 3ab^2 + 2a^3 - 5b^3 \)  [ \(a\) ]
    (2) \( 6x^2y - 2xy^2 + 3x^3 - 7x + 4 \)  [ \(x\) ]
    (3) \( 5p^2q - 8pq^2 + 2p^2q^2 - 3p^3 + 1 \)  [ \(q\) ]
2.  次の多項式を、[ ] 内の文字について降べきの順に整理したとき、各項の次数を答えなさい。
    (1)  \(  -x^3y^2 + 4x^2y^3 - 2xy + 7y^4  \)   [ \(y\) ]
    (2)  \(  5a^4b - 2ab^3 + 3a^2b^2  - 9a^5 \)   [ \(a\) ]
3.  次の多項式について、[ ]内の文字に着目したとき、何次式になるか答えなさい。また、定数項を答えなさい。
    (1) \( 2x^3 + 5xy^2 - 3y^3 + 4x + 1 \) [ \(x\) ]
    (2) \( 7a^2b - 3ab^2 + 4a^3 + 2b - 5 \) [ \(b\) ]

(注: **次数**とは、多項式における各項の文字の掛け合わされている個数のことです。例えば、\( x^2 \) の次数は2、\( xy \) の次数は2、\( x^2y^3 \) の次数は5です。また、**定数項**とは文字を含まない項のことです。)
","1.  
    (1) \( 2a^3 + 4a^2b - 3ab^2 - 5b^3 \)
    (2) \( 3x^3 + 6x^2y - 2xy^2 - 7x + 4 \)
    (3) \( 2p^2q^2 - 8pq^2 + 5p^2q - 3p^3 + 1 \)

2.  
    (1)  \( -x^3y^2 \) : 2次,  \( 4x^2y^3 \) : 3次, \( -2xy \) : 1次,  \( 7y^4 \) : 4次
    (2) \( -9a^5 \) : 5次,  \( 5a^4b \) : 4次, \( 3a^2b^2 \) : 2次,  \( -2ab^3 \) : 1次

3.  
    (1) 3次式、定数項：\( -3y^3 + 1 \)
    (2) 2次式、定数項： \( 4a^3 - 5 \)
",,,,,
数と式,多項式を適切に整理できる？,多項式の計算の基本,,1,1,,,"\textbf{基本例題 1 同類項の整理と次数・定数項}

次の多項式の同類項をまとめて整理せよ。また，(2)，(3) の多項式において，［］内の文字に着目したとき，その次数と定数項をいえ。

\begin{enumerate}
    \item $3x^2 + 2x - 6 - 4x^2 + 3x + 2$
    \item $2a^2 - ab - b^2 + 4ab + 3a^2 + 2b^2$ ［$b$］
    \item $x^3 - 2x^3y + 4xy - 3by + y^3 + 2xy - 2by + 4a$ ［$x$ と $y$］
\end{enumerate}
","(1) 同類項をまとめるということは、同じ文字の部分を持つ項同士を足し合わせることです。
$3x^2 - 4x^2 = (3-4)x^2 = -x^2$
$2x + 3x = (2+3)x = 5x$
$-6 + 2 = -4$
したがって、$3x^2 + 2x - 6 - 4x^2 + 3x + 2 = -x^2 + 5x - 4$ となります。

(2) まずは同類項をまとめます。
$2a^2 + 3a^2 = 5a^2$
$-ab + 4ab = 3ab$
$-b^2 + 2b^2 = b^2$
したがって、$2a^2 - ab - b^2 + 4ab + 3a^2 + 2b^2 = 5a^2 + 3ab + b^2$ となります。
次に、$b$に着目して整理します。
$b^2 + 3ab + 5a^2$ となり、$b$の次数は2、定数項は $5a^2$です。

(3) 同類項をまとめます。
$x^3 - 2x^3y + 4xy + 2xy - 3by - 2by + y^3 + 4a = x^3 - 2x^3y + 6xy - 5by + y^3 + 4a$
次に、$x$と$y$に着目して整理します。
$-2x^3y + x^3 + 6xy - 5by + y^3 + 4a$
$x$と$y$に着目した場合、次数は4($-2x^3y$の項)となり、定数項は$4a$となります。
","- **同類項をまとめる**とは、文字の部分が全く同じ項同士を足したり引いたりすることだと理解しよう。例えば、 $$2x $$と $$3x $$は同類項だけど、 $$2x $$と $$3x^2 $$は同類項ではないよ。
- **特定の文字に着目**して次数を考えるときは、着目した文字の指数が一番大きいものが次数になる。着目した文字を含まない項は定数項になる。例えば、 $$ax^2 + bx + c $$ を $$x $$に着目したとき、次数は2、定数項は $$c $$になる。
- **多項式の整理**は、計算の基本。複雑な式も、整理することで見通しが良くなることが多い。特に、特定の文字に着目する考え方は、今後の数学で頻繁に使うことになるから、今のうちにしっかりマスターしよう！
","\begin{enumerate}
    \item 次の多項式の同類項をまとめて整理しなさい。
        \begin{enumerate}
            \item $5a^2 - 3a + 7 - 2a^2 + 8a - 1$
            \item $-4x^2y + 2xy^2 + 5x^2y - 3xy^2$
        \end{enumerate}
    \item 次の多項式について、[ ]内の文字に着目したとき、その次数と定数項を答えなさい。
        \begin{enumerate}
             \item $3x^2y - 5xy + 2y^2 - 4x + 7$  [$x$]
             \item $a^3b^2 - 2ab^3 + 4a^2b - 6b + 1$  [$b$]
        \end{enumerate}
    \item 次の多項式を整理しなさい。また、$x$と$y$に着目したときの次数と定数項を答えなさい。
         $2x^2 - 3xy + 4y^2 + 5x - 6y + 7 + 3xy - x^2 + 2x - y$
\end{enumerate}
","1.  (1)
        \begin{itemize}
            \item $5a^2 - 2a^2 = 3a^2$
            \item $-3a + 8a = 5a$
            \item $7 - 1 = 6$
        \end{itemize}
        したがって、$5a^2 - 3a + 7 - 2a^2 + 8a - 1 = 3a^2 + 5a + 6$ となります。

    (2)
        \begin{itemize}
            \item $-4x^2y + 5x^2y = x^2y$
            \item $2xy^2 - 3xy^2 = -xy^2$
         \end{itemize}
        したがって、$-4x^2y + 2xy^2 + 5x^2y - 3xy^2 = x^2y - xy^2$ となります。

2.  (1)
        $3x^2y - 5xy + 2y^2 - 4x + 7$ を $x$ に着目して整理すると、
        $3yx^2 + (-5y - 4)x + 2y^2 + 7$ となります。
        \begin{itemize}
            \item 次数：2
            \item 定数項：$2y^2 + 7$
        \end{itemize}

    (2)
        $a^3b^2 - 2ab^3 + 4a^2b - 6b + 1$ を $b$ に着目して整理すると、
        $-2ab^3 + a^3b^2 + 4a^2b - 6b + 1$ となります。
         \begin{itemize}
            \item 次数：3
            \item 定数項：1
        \end{itemize}

3.  まず、与えられた式を整理します。
    \begin{itemize}
        \item $2x^2 - x^2 = x^2$
        \item $-3xy + 3xy = 0$
        \item $5x + 2x = 7x$
        \item $-6y - y = -7y$
    \end{itemize}
    したがって、$2x^2 - 3xy + 4y^2 + 5x - 6y + 7 + 3xy - x^2 + 2x - y = x^2 + 4y^2 + 7x - 7y + 7$ となります。
    次に、$x$と$y$に着目して次数と定数項を考えます。
    $x^2 + 4y^2 + 7x - 7y + 7$
    \begin{itemize}
        \item 次数：2
        \item 定数項：7
    \end{itemize}
","基本例題 $$1$$：同類項の整理と次数・定数項

次の多項式の同類項をまとめて整理せよ。また，$$(2)$$，$$(3)$$ の多項式において，［］内の文字に着目したとき，その次数と定数項をいえ。

\begin{align*} &(1) \enspace 3x^2 + 2x - 6 - 4x^2 + 3x + 2 \\ &= (3 - 4)x^2 + (2 + 3)x + (-6 + 2) \\ &= -x^2 + 5x - 4\end{align*} 

\begin{align*} &(2) \enspace 2a^2 - ab - b^2 + 4ab + 3a^2 + 2b^2 \\ &= (2 + 3)a^2 + (-1 + 4)ab + (-1 + 2)b^2 \\ &= 5a^2 + 3ab + b^2\end{align*} 
［$$b$$］に着目すると，次数は $$2$$，定数項は $$5a^2$$

\begin{align*} &(3) \enspace x^3 - 2x^3y + 4xy - 3by + y^3 + 2xy - 2by + 4a \\ &= x^3 - 2x^3y + (4 + 2)xy + (-3 - 2)by + y^3 + 4a \\ &= x^3 - 2x^3y + 6xy - 5by + y^3 + 4a \end{align*} 
［$$x$$ と $$y$$］に着目すると，次数は $$4$$，定数項は $$4a$$
",,,,
数と式,「指数」、「累乗」、「指数の底」とは？,多項式の計算の基本,"教科書, p13",,2,,,,"「指数」とは、同じ数を繰り返し掛け合わせる回数を表す数のことです。例えば、\( a \times a \times a \) は \( a^3 \) と書けますが、この右上の小さい数「3」が指数です。

「累乗」とは、指数を使って数を表すことです。上記の例でいうと \( a^3 \) そのものが \( a \) の累乗です。

「指数の底」とは、累乗において、繰り返し掛け合わせる数のことです。\( a^3 \) の例では、\( a \) が指数の底です。
","Error: 503 {
  ""error"": {
    ""code"": 503,
    ""message"": ""The model is overloaded. Please try again later."",
    ""status"": ""UNAVAILABLE""
  }
}
","Error: 503 {
  ""error"": {
    ""code"": 503,
    ""message"": ""The model is overloaded. Please try again later."",
    ""status"": ""UNAVAILABLE""
  }
}
","Error: 503 {
  ""error"": {
    ""code"": 503,
    ""message"": ""The model is overloaded. Please try again later."",
    ""status"": ""UNAVAILABLE""
  }
}
",,,,,
数と式,多項式の加法・減法・分配法則とは？,多項式の計算の基本,教科書,,1,,多項式の計算のルールは主に２つ！同類項同士でその係数の足し算・引き算ができること、分配法則を使うことができること,,"多項式の加法：多項式の加法は、それぞれの項の同類項（文字部分が同じ項）同士を足し合わせることです。

例えば、
$$
(2x^2 + 3x + 1) + (x^2 - 2x + 4) = (2x^2 + x^2) + (3x - 2x) + (1 + 4) = 3x^2 + x + 5
$$
のように計算します。

多項式の減法：多項式の減法は、引く方の多項式の各項の符号を反転させて、加法と同様に計算します。

例えば、
$$
(2x^2 + 3x + 1) - (x^2 - 2x + 4) = (2x^2 + 3x + 1) + (-x^2 + 2x - 4) = (2x^2 - x^2) + (3x + 2x) + (1 - 4) = x^2 + 5x - 3
$$
のように計算します。

分配法則：分配法則とは、ある数や文字を括弧の中の各項に掛け合わせる計算規則のことです。

例えば、
$$
a(b+c)=ab+ac
$$
$$
(a+b)c=ac+bc
$$
のように計算します。これは多項式の場合でも同じように適用できます。

例えば、
$$
2x(x+3)=2x\cdot x+2x\cdot 3=2x^2+6x
$$
のように計算します。
また、
$$
(x+2)(x+3)=x(x+3)+2(x+3)=x^2+3x+2x+6=x^2+5x+6
$$
のように展開できます。
","**多項式の計算は、同類項をまとめること、分配法則を使うことが基本！**

*   **加法・減法**：**同類項**（文字の部分が同じ項）を足したり引いたりするだけ。
*   **分配法則**：括弧の前にある数や文字を、括弧の中の**全ての項**に掛け算する。
*   **減法は符号を反転させて加法に直す**：**（引く多項式の符号を全て変えて足す）**と考えるとミスが減る。
*   **展開**：分配法則を**複数回**使うことで、多項式を**括弧のない形**に変形できる。

（注：**「同類項」**とは、例えば  $$3x $$ と  $$-2x $$ のように、文字の部分が全く同じ項のこと。数字の部分が違っていても、文字の部分が同じであれば同類項として計算できる。）
","練習問題：

1.  次の計算をしなさい。
    (1)  $(4x^2 - 2x + 5) + (2x^2 + 6x - 3)$
    (2)  $(3a^2 + 5a - 7) - (a^2 - 2a + 4)$
    (3)  $2(x^2 - 3x + 4) + 3(2x^2 + x - 2)$
    (4)  $5x(2x - 3)$
    (5)  $-3a(a^2 + 2a - 1)$
    (6)  $(x+4)(x-2)$
    (7) $(2a-1)(3a+2)$

2. 次の式を展開しなさい。
    (1)  $(x+1)(x+5)$
    (2)  $(x-3)(x+7)$
    (3)  $(2x-1)(x-4)$
    (4)  $(3a+2)(2a-5)$

3.  次の計算をしなさい。（少し難易度UP）
     (1) $2x\{3(x-1)+2\}-3x(2x-3)$
     (2) $(a+b)(a-2b+1)$

解答：

1.  
    (1) $6x^2 + 4x + 2$
    (2) $2a^2 + 7a - 11$
    (3) $8x^2 - 3x + 2$
    (4) $10x^2 - 15x$
    (5) $-3a^3 - 6a^2 + 3a$
    (6) $x^2 + 2x - 8$
    (7) $6a^2 + a - 2$

2.  
    (1) $x^2 + 6x + 5$
    (2) $x^2 + 4x - 21$
    (3) $2x^2 - 9x + 4$
    (4) $6a^2 - 11a - 10$

3.  
    (1) $6x^2 - 6x + 4x - 6x^2 + 9x = 7x$
    (2) $a^2-2ab+a+ab-2b^2+b=a^2-ab+a-2b^2+b$
","1.  
    (1)  $(4x^2 - 2x + 5) + (2x^2 + 6x - 3)$
    
    **同類項**をまとめると、
    
    $ (4x^2 + 2x^2) + (-2x + 6x) + (5 - 3) = 6x^2 + 4x + 2$
    
    (2)  $(3a^2 + 5a - 7) - (a^2 - 2a + 4)$
    
     **引く方の符号を全て変えて足し算**にすると、
    
     $(3a^2 + 5a - 7) + (-a^2 + 2a - 4)$
    
    **同類項**をまとめると、
    
    $ (3a^2 - a^2) + (5a + 2a) + (-7 - 4) = 2a^2 + 7a - 11$
    
    (3)  $2(x^2 - 3x + 4) + 3(2x^2 + x - 2)$
    
    **分配法則**を使って括弧を外すと、
    
    $2x^2 - 6x + 8 + 6x^2 + 3x - 6$
    
    **同類項**をまとめると、
    
    $ (2x^2 + 6x^2) + (-6x + 3x) + (8 - 6) = 8x^2 - 3x + 2$
    
    (4)  $5x(2x - 3)$
    
    **分配法則**を使うと、
    
    $5x \cdot 2x - 5x \cdot 3 = 10x^2 - 15x$
    
    (5)  $-3a(a^2 + 2a - 1)$
    
    **分配法則**を使うと、
    
    $-3a \cdot a^2 - 3a \cdot 2a - 3a \cdot (-1) = -3a^3 - 6a^2 + 3a$
    
    (6)  $(x+4)(x-2)$
    
    **分配法則**を2回使うと、
    
    $x(x-2) + 4(x-2) = x^2 - 2x + 4x - 8$
    
    **同類項**をまとめると、
    
    $x^2 + 2x - 8$
    
    (7) $(2a-1)(3a+2)$
    
      **分配法則**を2回使うと、
    
    $2a(3a+2)-1(3a+2)=6a^2+4a-3a-2$
    
    **同類項**をまとめると、
    
    $6a^2+a-2$

2.  
    (1)  $(x+1)(x+5)$
    
    **分配法則**を2回使うと、
    
    $x(x+5) + 1(x+5) = x^2 + 5x + x + 5$
    
    **同類項**をまとめると、
    
    $x^2 + 6x + 5$
    
    (2)  $(x-3)(x+7)$
    
    **分配法則**を2回使うと、
    
    $x(x+7) - 3(x+7) = x^2 + 7x - 3x - 21$
    
    **同類項**をまとめると、
    
    $x^2 + 4x - 21$
    
    (3)  $(2x-1)(x-4)$
    
     **分配法則**を2回使うと、
    
    $2x(x-4) - 1(x-4) = 2x^2 - 8x - x + 4$
    
    **同類項**をまとめると、
    
    $2x^2 - 9x + 4$
    
    (4)  $(3a+2)(2a-5)$
    
    **分配法則**を2回使うと、
    
    $3a(2a-5)+2(2a-5)=6a^2-15a+4a-10$
    
    **同類項**をまとめると、
    
    $6a^2-11a-10$

3.  
    (1) $2x\{3(x-1)+2\}-3x(2x-3)$
    
    まず、**中括弧の中を計算**し、**分配法則**を使うと、
    
    $2x(3x - 3 + 2) - 6x^2 + 9x = 2x(3x - 1) - 6x^2 + 9x$
    
    さらに**分配法則**を使うと
    
    $6x^2 - 2x - 6x^2 + 9x$
    
     **同類項**をまとめると、
    
    $7x$
    
